TIMESTAMP(ms),IDLESPD(RPM),RPM(RPM),TPS(%),COOLTMP(DEG C),CELL,LBLM,RBLM,MAP(KPA),LO2(mV),RO2(mV),IAT(DEG C),ADV(DEG),SPEED(MPH),KNOCKRETARD(DEG),KNOCK,IAC,BARO(KPA),ADIGNVLT(VOLTS),LINT,RINT,MAF(G/s),LBPW(MSEC),RBPW(MSEC),CL,BLM,WOT
1602,887.50,900.00,0.00,78.75,16,128,128,32.86,1007.88,994.56,28.50,28,0,0.00,1422,40,32.86,13.70,128,128,8.04,3.04,3.04,0,0,0
1873,887.50,875.00,0.00,78.75,16,128,128,33.60,1003.44,994.56,28.50,28,0,0.00,1422,40,33.60,13.70,128,128,8.06,3.10,3.08,0,0,0
2143,887.50,875.00,0.00,78.75,16,128,128,33.60,999.00,994.56,28.50,28,0,0.00,1422,40,33.60,13.70,128,128,8.15,3.14,3.14,0,0,0
2415,887.50,900.00,0.00,78.75,16,128,128,33.23,1003.44,994.56,28.50,28,0,0.00,1422,40,33.23,13.70,128,128,8.24,3.07,3.07,0,0,0
2691,887.50,900.00,0.00,79.50,16,128,128,33.97,1003.44,990.12,28.50,28,0,0.00,1422,40,33.97,13.70,128,128,8.14,3.07,3.05,0,0,0
2962,887.50,900.00,0.00,79.50,16,128,128,33.23,1003.44,990.12,28.50,28,0,0.00,1422,40,33.23,13.70,128,128,8.15,3.07,3.07,0,0,0
3231,887.50,900.00,0.00,79.50,16,128,128,33.60,1007.88,990.12,28.50,28,0,0.00,1422,40,33.60,13.70,128,128,8.02,3.01,3.01,0,0,0
3504,887.50,900.00,0.00,79.50,16,128,128,33.97,1003.44,941.28,28.50,28,0,0.00,1422,40,33.97,13.70,128,128,8.03,3.07,3.05,0,0,0
3778,887.50,900.00,0.00,79.50,16,128,128,34.34,1003.44,976.80,28.50,28,0,0.00,1422,40,34.34,13.70,128,128,8.20,3.11,3.11,0,0,0
4053,887.50,900.00,0.00,79.50,16,128,128,33.97,999.00,990.12,28.50,28,0,0.00,1422,40,33.97,13.80,128,128,8.12,3.08,3.07,0,0,0
4324,887.50,900.00,0.00,79.50,16,128,128,33.97,1003.44,976.80,28.50,28,0,0.00,1422,40,33.97,13.70,128,128,8.09,3.08,3.08,0,0,0
4596,887.50,900.00,0.00,79.50,16,128,128,34.34,1003.44,985.68,28.50,28,0,0.00,1422,40,34.34,13.80,128,128,8.16,3.07,3.07,0,0,0
4866,887.50,900.00,0.00,79.50,16,128,128,33.23,1003.44,990.12,28.50,28,0,0.00,1422,40,33.23,13.70,128,128,8.16,3.10,3.08,0,0,0
5136,887.50,925.00,0.00,79.50,16,128,128,33.60,1003.44,990.12,28.50,28,0,0.00,1422,40,33.60,13.70,128,128,8.05,3.02,3.04,0,0,0
5411,887.50,900.00,0.00,79.50,16,128,128,33.23,1003.44,990.12,28.50,28,0,0.00,1422,40,33.23,13.80,128,128,8.24,3.02,3.04,0,0,0
5687,887.50,925.00,0.00,79.50,16,128,128,33.60,1003.44,985.68,28.50,28,0,0.00,1422,40,33.60,13.70,128,128,8.36,3.04,3.02,0,0,0
5958,887.50,900.00,0.00,79.50,16,128,128,33.60,1003.44,981.24,28.50,28,0,0.00,1422,40,33.60,13.70,128,128,8.16,3.07,3.07,0,0,0
6227,887.50,900.00,0.00,79.50,16,128,128,32.86,1003.44,985.68,28.50,28,0,0.00,1422,40,32.86,13.70,128,128,8.05,3.08,3.08,0,0,0
